,title,summary,press,wdate,link
0,"케데헌 ‘골든’ 누르고 1위 찍은 블루 밸런타인…엔믹스 앞세운 JYP 주가 힘 받나 [K주식, 이걸 사? 말아?]",전세계적으로 인기를 끈 넷플릭스 오리지널 애니메이션 케이팝데몬헌터스. 케이팝데몬헌터스의 주제곡인 ‘골든’이 수개월간 전세계의 마음을 사..,매일경제,2025-11-02 15:45:06,https://n.news.naver.com/mnews/article/009/0005583147
1,"코스피, 파죽지세 이어갈까…주도업종 3Q 실적 시험대",코스피가 '슈퍼위크'를 소화하며 전례 없는 사상 최고치 랠리를 이어갔다. 한 주에 4000·4100선을 연속 돌파한 예상 밖 오름세를 ..,머니투데이,2025-11-02 15:24:36,https://n.news.naver.com/mnews/article/008/0005272123
2,이재명 정부 출범 넉 달 만에 기재부 1급 인사…예산·세제실장 유임,기획재정부가 실무 책임자인 1급(실장·차관보) 인사를 단행한다. 하지만 예산실장·세제실장·국제경제관리관 등은 이번에 유임하는 쪽으로 가..,한국경제,2025-11-02 15:14:13,https://n.news.naver.com/mnews/article/015/0005205676
3,고파이 피해금액 1700억까지 불었다…고팍스 피해 보상 언제?,고팍스가 운용하던 코인 예치 서비스 ‘고파이’ 미지급금이 1700억원을 넘어선 것으로 집계됐다. 출금 중단 사태가 장기화되는 사이 비트..,디지털타임스,2025-11-02 15:01:38,https://n.news.naver.com/mnews/article/029/0002990937
4,"연말 증시, 반도체 독주서 확산 국면...저평가 업종 주목",연말 증시가 반도체 중심 상승세에서 벗어나 저평가 업종 확산 국면에 진입할 조짐을 보이고 있다. 올해 코스피 상승분 대부분이 반도체와 ..,파이낸셜뉴스,2025-11-02 14:20:14,https://n.news.naver.com/mnews/article/014/0005428164
5,활황장에 증권사 3분기 실적 ‘활짝’…5개사 합산 영업익 36%↑,최근 코스피가 4000선을 돌파하는 등 활황장이 이어지는 가운데 증권사들의 3분기 실적도 일제히 개선세를 보였다. 본격적인 랠리 이전임..,이데일리,2025-11-02 13:38:15,https://n.news.naver.com/mnews/article/018/0006154127
6,"7년 만에 꺾인 업토버, 위기 조짐?…비트코인 향방은","매년 10월마다 이어져 온 비트코인의 상승세, 이른바 ‘업토버(Uptober)’ 흐름이 올해 7년 만에 멈췄다. 글로벌 금융 불확실성과..",이코노미스트,2025-11-02 13:30:14,https://n.news.naver.com/mnews/article/243/0000087363
7,"'SK엔무브'와 합병한 SK온, 공모채 3000억원 발행 도전 [fn마켓워치]",배터리 제조사 SK온이 최대 공모채 3000억원 발행에 도전한다. 2일 금융투자업계에 따르면 SK온은 오는 20일께 1500억원 자금 ..,파이낸셜뉴스,2025-11-02 13:27:11,https://n.news.naver.com/mnews/article/014/0005428148
8,오르는 것만 더 오른다...국내 증시 '쏠림' 가속화,반도체 등 일부 대형주가 상승 랠리를 이끄는 장세가 지속되면서 투자자들의 희비가 갈리고 있다. 같은 지수를 추종하지만 동일가중 방식으로..,파이낸셜뉴스,2025-11-02 13:24:11,https://n.news.naver.com/mnews/article/014/0005428146
9,'4000피' 안착한 코스피…상승 랠리 이어갈까[주간증시전망],코스피가 사상 처음으로 4000포인트를 돌파한 가운데 이번 주에도 상승 랠리를 이어갈지 관심이 쏠린다. 지난주에는 한미 관세협상 등 굵..,이데일리,2025-11-02 13:24:10,https://n.news.naver.com/mnews/article/018/0006154098
